,total_score,total_letter_metric,total_position_metric,first_word,first_word_score,first_word_letter_metric,first_word_position_metric,second_word,second_word_score,second_word_letter_metric,second_word_position_metric
47,3.256657290201659,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.29160806375996834, 0.4231129864041368, 0.22245663384904196, 0.05391467416783893, 0.007969995311767463, 0.0009376465072667605]",tries,1.8645804031880309,"[0.07454289732770752, 0.3141115799343715, 0.39123300515706566, 0.18963900609470402, 0.029301453352086233, 0.0011720581340834506]","[0.4156118143460024, 0.4296765119550044, 0.13642756680731322, 0.01570557899671826, 0.002344116268166901, 0.00023441162681669012]",nodal,1.3920768870136218,"[0.15541490857946588, 0.426863572433204, 0.3248945147679397, 0.08673230192217518, 0.005860290670417252, 0.00023441162681669012]","[0.7353492733239806, 0.23042662916080975, 0.02766057196436941, 0.006094702297233942, 0.00023441162681669012, 0.00023441162681669012]"
52,3.252297233942868,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.34388185654009235, 0.3755274261603468, 0.2081575246132233, 0.060243788091889634, 0.010782934833567754, 0.0014064697609001407]",rites,1.86022034692924,"[0.07454289732770752, 0.3141115799343715, 0.39123300515706566, 0.18963900609470402, 0.029301453352086233, 0.0011720581340834506]","[0.4699953117674767, 0.3743553680262633, 0.12728551336146193, 0.026019690576652585, 0.002109704641350211, 0.00023441162681669012]",nodal,1.3920768870136218,"[0.15541490857946588, 0.426863572433204, 0.3248945147679397, 0.08673230192217518, 0.005860290670417252, 0.00023441162681669012]","[0.7353492733239806, 0.23042662916080975, 0.02766057196436941, 0.006094702297233942, 0.00023441162681669012, 0.00023441162681669012]"
121,3.250656352555151,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.34857008907642634, 0.3846694796061981, 0.19221753398968772, 0.06188466947960648, 0.011720581340834518, 0.0009376465072667605]",sired,1.7938349742147517,"[0.08204406938584147, 0.33075480543835717, 0.38818565400844857, 0.17205813408345155, 0.026019690576652585, 0.0009376465072667605]","[0.5346929207688857, 0.33731833098922476, 0.10689170182841015, 0.018049695264885153, 0.002812939521800281, 0.00023441162681669012]",tonal,1.4568213783403925,"[0.13244256915142932, 0.4254571026723038, 0.34106891701829195, 0.09423347398030912, 0.006329113924050632, 0.00046882325363338024]","[0.6697140178153047, 0.28152836380685026, 0.04008438818565407, 0.007969995311767463, 0.00046882325363338024, 0.00023441162681669012]"
100,3.249132676980843,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.3155180496952717, 0.4254571026723038, 0.21542428504454098, 0.04008438818565407, 0.003047351148616971, 0.00046882325363338024]",doers,1.805508673230224,"[0.08696671354899187, 0.3080168776371373, 0.40600093764651773, 0.17463666197843525, 0.02414439756211907, 0.00023441162681669012]","[0.4913267698077964, 0.39287388654478256, 0.10337552742615987, 0.011251758087201136, 0.0009376465072667605, 0.00023441162681669012]",latin,1.4436240037506116,"[0.1530707923112989, 0.40037505860291694, 0.34200656352555875, 0.09446788560712581, 0.00984528832630099, 0.00023441162681669012]","[0.7034692920769094, 0.24566338490389522, 0.046179090482888076, 0.004219409282700422, 0.00023441162681669012, 0.00023441162681669012]"
37,3.246483825597814,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.35278949835912693, 0.39428035630568276, 0.1957337083919382, 0.050632911392405236, 0.005860290670417252, 0.0007032348804500703]",dales,1.8779418659165832,"[0.07430848570089084, 0.3042662916080701, 0.39803094233474995, 0.1964369432723883, 0.026254102203469274, 0.0007032348804500703]","[0.4341303328645217, 0.3750586029067134, 0.1533052039381156, 0.03422409751523675, 0.003047351148616971, 0.00023441162681669012]",intro,1.368541959681224,"[0.17276136896390165, 0.40693858415378453, 0.3227848101265894, 0.09095171120487552, 0.006329113924050632, 0.00023441162681669012]","[0.8502109704641634, 0.13502109704641302, 0.012892639474917972, 0.0016408813877168307, 0.0, 0.00023441162681669012]"
162,3.2445382090952353,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.3677918424753957, 0.38513830285983147, 0.18940459446788732, 0.04992967651195516, 0.007266760431317392, 0.00046882325363338024]",roast,1.7666666666666981,"[0.08063759962494135, 0.3265353961556566, 0.40342240975153404, 0.16807313642756766, 0.020862634786685423, 0.00046882325363338024]","[0.6300984528832825, 0.3141115799343715, 0.05016408813877185, 0.004453820909517112, 0.0009376465072667605, 0.00023441162681669012]",lined,1.4778715424285285,"[0.15752461322081618, 0.38912330051571536, 0.33544303797469116, 0.10525082044069335, 0.01242381622128459, 0.00023441162681669012]","[0.6322081575246328, 0.24613220815752862, 0.10150023441162638, 0.017580872011251775, 0.002344116268166901, 0.00023441162681669012]"
134,3.24376465072674,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.3752930145335301, 0.39123300515706566, 0.16690107829348416, 0.055086732301922396, 0.010314111579934372, 0.0011720581340834506]",sider,1.786943272386341,"[0.08204406938584147, 0.33075480543835717, 0.38818565400844857, 0.17205813408345155, 0.026019690576652585, 0.0009376465072667605]","[0.5806375996249589, 0.3148148148148216, 0.08204406938584147, 0.020393811533052045, 0.0018752930145335208, 0.00023441162681669012]",tonal,1.4568213783403925,"[0.13244256915142932, 0.4254571026723038, 0.34106891701829195, 0.09423347398030912, 0.006329113924050632, 0.00046882325363338024]","[0.6697140178153047, 0.28152836380685026, 0.04008438818565407, 0.007969995311767463, 0.00046882325363338024, 0.00023441162681669012]"
62,3.241162681669075,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.3565400843881941, 0.4160806375996358, 0.19151429910923762, 0.031879981247069825, 0.003281762775433661, 0.0007032348804500703]",tiers,1.8490857946554475,"[0.07454289732770752, 0.3141115799343715, 0.39123300515706566, 0.18963900609470402, 0.029301453352086233, 0.0011720581340834506]","[0.5098452883263156, 0.38537271448664817, 0.09517112048757587, 0.009142053445850918, 0.00023441162681669012, 0.00023441162681669012]",nodal,1.3920768870136218,"[0.15541490857946588, 0.426863572433204, 0.3248945147679397, 0.08673230192217518, 0.005860290670417252, 0.00023441162681669012]","[0.7353492733239806, 0.23042662916080975, 0.02766057196436941, 0.006094702297233942, 0.00023441162681669012, 0.00023441162681669012]"
49,3.232630098452947,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.40717299578060123, 0.40459446788561754, 0.1504922644163152, 0.031176746366619747, 0.005860290670417252, 0.0007032348804500703]",deals,1.8640881387717165,"[0.07430848570089084, 0.3042662916080701, 0.39803094233474995, 0.1964369432723883, 0.026254102203469274, 0.0007032348804500703]","[0.4939052977027801, 0.3771683075480637, 0.10806375996249358, 0.017815283638068464, 0.002812939521800281, 0.00023441162681669012]",intro,1.368541959681224,"[0.17276136896390165, 0.40693858415378453, 0.3227848101265894, 0.09095171120487552, 0.006329113924050632, 0.00023441162681669012]","[0.8502109704641634, 0.13502109704641302, 0.012892639474917972, 0.0016408813877168307, 0.0, 0.00023441162681669012]"
175,3.232090951711269,"[0.0039849976558837315, 0.03609939052977029, 0.19198312236287102, 0.4287388654477376, 0.29324894514768524, 0.04594467885607138]","[0.2709798406000988, 0.3663853727144955, 0.24285044538209483, 0.1012658227848097, 0.017580872011251775, 0.0009376465072667605]",later,1.7595405532114696,"[0.08720112517580855, 0.3265353961556566, 0.40084388185655034, 0.16385372714486707, 0.020862634786685423, 0.0007032348804500703]","[0.6193155180497143, 0.2599624941397139, 0.09751523675574272, 0.020159399906235356, 0.002812939521800281, 0.00023441162681669012]",coins,1.4725503984997927,"[0.1425222691045474, 0.4153774027191857, 0.34716361931552614, 0.08790436005625861, 0.006329113924050632, 0.0007032348804500703]","[0.4662447257384095, 0.3846694796061981, 0.13080168776371243, 0.016643225503985018, 0.0014064697609001407, 0.00023441162681669012]"
51,3.228949835911925,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.4273323956868374, 0.40014064697610024, 0.13548992030004642, 0.03047351148616968, 0.006094702297233942, 0.00046882325363338024]",leads,1.8604078762306946,"[0.07430848570089084, 0.3042662916080701, 0.39803094233474995, 0.1964369432723883, 0.026254102203469274, 0.0007032348804500703]","[0.5161744022503665, 0.3703703703703794, 0.09095171120487552, 0.020159399906235356, 0.002109704641350211, 0.00023441162681669012]",intro,1.368541959681224,"[0.17276136896390165, 0.40693858415378453, 0.3227848101265894, 0.09095171120487552, 0.006329113924050632, 0.00023441162681669012]","[0.8502109704641634, 0.13502109704641302, 0.012892639474917972, 0.0016408813877168307, 0.0, 0.00023441162681669012]"
183,3.228715424285108,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.44983591186124056, 0.367557430848579, 0.13689639006094662, 0.038209095171120526, 0.006563525550867322, 0.0009376465072667605]",sitar,1.7552742616034063,"[0.08532583216127507, 0.3258321612752065, 0.40084388185655034, 0.16643225503985076, 0.020862634786685423, 0.0007032348804500703]","[0.6474449132677182, 0.29606188466948563, 0.05110173464603862, 0.005157055789967182, 0.0, 0.00023441162681669012]",olden,1.473441162681695,"[0.1394749179559303, 0.40693858415378453, 0.34317862165964225, 0.09892170651664284, 0.011251758087201136, 0.00023441162681669012]","[0.6711204875762049, 0.28949835911861804, 0.036333802156586985, 0.002578527894983591, 0.00023441162681669012, 0.00023441162681669012]"
142,3.2282934833568384,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.4336615096108883, 0.38677918424754837, 0.1472105016408814, 0.028363806844819477, 0.003516174402250351, 0.00046882325363338024]",stole,1.7815518049695587,"[0.0700890764181905, 0.33145804031880727, 0.40811064228786803, 0.17065166432255136, 0.019456165025785288, 0.00023441162681669012]","[0.667135489920321, 0.251289263947496, 0.06868260665729038, 0.011251758087201136, 0.0014064697609001407, 0.00023441162681669012]",dinar,1.4467416783872724,"[0.1507266760431319, 0.40951711204876823, 0.3281762775433735, 0.10150023441162638, 0.009376465072667609, 0.0007032348804500703]","[0.7083919362400601, 0.23675574308486064, 0.048523206751055, 0.005860290670417252, 0.00023441162681669012, 0.00023441162681669012]"
35,3.2278715424285664,"[0.003281762775433661, 0.04008438818565407, 0.199015471167372, 0.4212376933896032, 0.28105954055321686, 0.05532114392873909]","[0.2498827941865958, 0.3750586029067134, 0.2669948429442149, 0.09095171120487552, 0.015471167369901572, 0.0016408813877168307]",roles,1.8813642756681086,"[0.06540084388185678, 0.28926394749180134, 0.4402250351617559, 0.18752930145335373, 0.016877637130801707, 0.0007032348804500703]","[0.44561650257853996, 0.3640412564463285, 0.15822784810126628, 0.028832630098452855, 0.003047351148616971, 0.00023441162681669012]",paint,1.3465072667604576,"[0.18026254102203604, 0.4261603375527539, 0.3155180496952717, 0.07032348804500718, 0.007501172058134082, 0.00023441162681669012]","[0.6120487576183966, 0.312939521800288, 0.06821378340365701, 0.005157055789967182, 0.0014064697609001407, 0.00023441162681669012]"
139,3.2267229254571665,"[0.0039849976558837315, 0.03609939052977029, 0.19198312236287102, 0.4287388654477376, 0.29324894514768524, 0.04594467885607138]","[0.29395218002813533, 0.3647444913267786, 0.23089545241444315, 0.09165494608532558, 0.018049695264885153, 0.0007032348804500703]",cores,1.7830989217065478,"[0.07923112986404124, 0.33638068448195796, 0.40904828879513483, 0.15588373183309928, 0.01875293014533522, 0.0007032348804500703]","[0.419831223628703, 0.379278012189414, 0.16221284575715017, 0.03422409751523675, 0.004219409282700422, 0.00023441162681669012]",latin,1.4436240037506116,"[0.1530707923112989, 0.40037505860291694, 0.34200656352555875, 0.09446788560712581, 0.00984528832630099, 0.00023441162681669012]","[0.7034692920769094, 0.24566338490389522, 0.046179090482888076, 0.004219409282700422, 0.00023441162681669012, 0.00023441162681669012]"
189,3.226254102203533,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.45358649789030775, 0.367557430848579, 0.1474449132676981, 0.02695733708391934, 0.003281762775433661, 0.0011720581340834506]",stair,1.752812939521831,"[0.08532583216127507, 0.3258321612752065, 0.40084388185655034, 0.16643225503985076, 0.020862634786685423, 0.0007032348804500703]","[0.6781528363807059, 0.2613689639006141, 0.05344585091420555, 0.006329113924050632, 0.00046882325363338024, 0.00023441162681669012]",olden,1.473441162681695,"[0.1394749179559303, 0.40693858415378453, 0.34317862165964225, 0.09892170651664284, 0.011251758087201136, 0.00023441162681669012]","[0.6711204875762049, 0.28949835911861804, 0.036333802156586985, 0.002578527894983591, 0.00023441162681669012, 0.00023441162681669012]"
12,3.2261134552274453,"[0.00023441162681669012, 0.02766057196436941, 0.19221753398968772, 0.44889826535397376, 0.29207688701360174, 0.038912330051570604]","[0.28129395218003356, 0.44772620721989026, 0.22034692920769167, 0.046882325363338154, 0.003281762775433661, 0.00046882325363338024]",aloes,1.9507969995312149,"[0.04500703234880461, 0.28434130332865065, 0.4392873886544891, 0.21003281762775688, 0.021097046413502112, 0.00023441162681669012]","[0.431551804969538, 0.4282700421941042, 0.12705110173464523, 0.012892639474917972, 0.0, 0.00023441162681669012]",turin,1.2753164556962262,"[0.2058134083450563, 0.4294421003281877, 0.28762306610408445, 0.07032348804500718, 0.006563525550867322, 0.00023441162681669012]","[0.7262072198781293, 0.22972339428035965, 0.04008438818565407, 0.003750586029067041, 0.0, 0.00023441162681669012]"
156,3.225293014533585,"[0.0039849976558837315, 0.03609939052977029, 0.19198312236287102, 0.4287388654477376, 0.29324894514768524, 0.04594467885607138]","[0.2658227848101314, 0.40225035161745054, 0.24871073605251232, 0.07102672292545724, 0.010782934833567754, 0.0014064697609001407]",cries,1.7684716361931863,"[0.07805907172995781, 0.34646038443507604, 0.40014064697610024, 0.15729020159399948, 0.017815283638068464, 0.00023441162681669012]","[0.40928270042195153, 0.4289732770745543, 0.142053445850914, 0.017815283638068464, 0.0016408813877168307, 0.00023441162681669012]",tonal,1.4568213783403925,"[0.13244256915142932, 0.4254571026723038, 0.34106891701829195, 0.09423347398030912, 0.006329113924050632, 0.00046882325363338024]","[0.6697140178153047, 0.28152836380685026, 0.04008438818565407, 0.007969995311767463, 0.00046882325363338024, 0.00023441162681669012]"
98,3.223347398031006,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.45850914205345844, 0.3820909517112144, 0.13080168776371243, 0.025316455696202517, 0.002812939521800281, 0.00046882325363338024]",snore,1.8074777308954848,"[0.06938584153774044, 0.310595405532121, 0.4301453352086378, 0.16572902015940066, 0.023909985935302382, 0.00023441162681669012]","[0.6645569620253373, 0.2592592592592638, 0.06399437412095667, 0.010314111579934372, 0.0016408813877168307, 0.00023441162681669012]",tidal,1.4158696671355155,"[0.1488513830285983, 0.42217533989687, 0.33028598218472377, 0.09259259259259232, 0.005860290670417252, 0.00023441162681669012]","[0.7353492733239806, 0.22644163150492586, 0.03422409751523675, 0.003750586029067041, 0.0, 0.00023441162681669012]"
190,3.2232301922175983,"[0.0039849976558837315, 0.03609939052977029, 0.19198312236287102, 0.4287388654477376, 0.29324894514768524, 0.04594467885607138]","[0.28176277543366696, 0.38912330051571536, 0.24519456165026182, 0.0733708391936241, 0.010079699953117681, 0.00046882325363338024]",alter,1.750679793717799,"[0.08720112517580855, 0.3265353961556566, 0.40084388185655034, 0.16385372714486707, 0.020862634786685423, 0.0007032348804500703]","[0.6511954992967854, 0.2702766057196487, 0.06797937177684032, 0.009376465072667609, 0.0009376465072667605, 0.00023441162681669012]",coins,1.4725503984997927,"[0.1425222691045474, 0.4153774027191857, 0.34716361931552614, 0.08790436005625861, 0.006329113924050632, 0.0007032348804500703]","[0.4662447257384095, 0.3846694796061981, 0.13080168776371243, 0.016643225503985018, 0.0014064697609001407, 0.00023441162681669012]"
165,3.219667135489984,"[0.0039849976558837315, 0.038209095171120526, 0.18049695264885274, 0.4118612283169352, 0.3120018752930212, 0.05344585091420555]","[0.4964838255977638, 0.34388185654009235, 0.12962962962962893, 0.02719174871073603, 0.002344116268166901, 0.00046882325363338024]",islet,1.7654008438818878,"[0.07946554149085792, 0.3272386310361067, 0.40248476324426724, 0.16690107829348416, 0.023441162681669004, 0.00046882325363338024]","[0.6699484294421214, 0.3000468823253695, 0.02719174871073603, 0.002109704641350211, 0.00046882325363338024, 0.00023441162681669012]",radon,1.4542662916080895,"[0.1432255039849975, 0.40951711204876823, 0.34083450539147525, 0.0963431786216593, 0.0096108766994843, 0.00046882325363338024]","[0.7165963431786446, 0.24003750586029443, 0.038209095171120526, 0.004688232536333802, 0.00023441162681669012, 0.00023441162681669012]"
